ppn	spkr	id	var	dur	f	pool	list	def	s	o1	o2	o3	o4	cor	r	rt	i
ZRWDX	8	4	1	1100	4_8_1.wav	3	2	6	f	6	178	106	13	1	1	711	80
ZRWDX	57	12	3	554	12_57_3.wav	3	2	10	m	7	171	167	10	1	4	898	81
ZRWDX	49	9	4	500	9_49_4.wav	2	3	41	m	93	8	41	48	1	3	2722	82
ZRWDX	47	1	3	665	1_47_3.wav	2	2	9	f	89	93	38	9	1	4	920	83
ZRWDX	38	7	1	622	7_38_1.wav	3	3	41	m	41	91	44	47	1	1	2191	84
ZRWDX	40	9	2	500	9_40_2.wav	2	1	34	m	63	74	130	34	0	4	1010	85
ZRWDX	54	1	4	700	1_54_4.wav	2	2	19	f	99	69	115	19	1	4	1542	86
ZRWDX	60	6	1	433	6_60_1.wav	1	2	28	f	28	175	60	105	1	1	933	87
ZRWDX	33	6	2	493	6_33_2.wav	1	1	16	f	85	3	110	16	1	4	858	88
ZRWDX	45	12	2	589	12_45_2.wav	3	2	15	m	127	15	155	26	1	2	2928	89
ZRWDX	5	12	1	745	12_5_1.wav	3	2	25	m	178	167	25	117	1	3	960	90
ZRWDX	31	7	1	780	7_31_1.wav	3	3	41	m	107	41	167	180	1	2	1572	91
ZRWDX	15	9	4	606	9_15_4.wav	2	2	5	m	56	147	98	5	1	4	1759	92
ZRWDX	58	7	1	635	7_58_1.wav	3	1	8	m	171	8	170	59	0	1	1748	93
ZRWDX	53	7	1	550	7_53_1.wav	3	2	12	m	93	13	85	12	0	2	819	94
ZRWDX	39	4	2	715	4_39_2.wav	3	1	36	f	36	128	129	163	0	1	830	95
ZRWDX	59	7	2	820	7_59_2.wav	3	2	14	m	171	14	159	79	1	2	1789	96
ZRWDX	53	11	1	597	11_53_1.wav	1	2	12	m	2	57	12	11	1	3	1118	97
ZRWDX	14	7	1	700	7_14_1.wav	3	3	41	m	41	2	58	138	0	2	2631	98
ZRWDX	43	9	3	500	9_43_3.wav	2	1	27	m	27	126	33	158	1	1	1644	99
ZRWDX	25	2	2	632	2_25_2.wav	1	2	35	f	129	122	35	70	0	3	927	100
ZRWDX	38	11	2	656	11_38_2.wav	1	3	41	m	102	50	32	41	1	4	1449	101
ZRWDX	59	1	1	710	1_59_1.wav	2	2	14	f	14	5	26	94	0	1	1548	102
ZRWDX	60	3	1	540	3_60_1.wav	3	2	28	f	28	9	50	38	1	1	870	103
ZRWDX	39	2	3	580	2_39_3.wav	1	1	36	f	36	52	9	114	1	1	648	104
ZRWDX	32	5	1	725	5_32_1.wav	2	3	41	f	41	17	126	144	1	1	1285	105
ZRWDX	12	1	2	560	1_12_2.wav	2	1	1	f	1	71	85	109	1	1	1364	106
ZRWDX	27	12	1	600	12_27_1.wav	3	3	41	m	139	41	114	30	1	2	2306	107
ZRWDX	22	10	1	720	10_22_1.wav	1	3	41	m	41	75	82	150	1	1	1827	108
ZRWDX	33	9	1	500	9_33_1.wav	2	1	16	m	16	67	148	107	1	1	924	109
